City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
296,arti,56.4234,58.5328,13.67,82,99,1.78,RU,1695506280
297,srivardhan,18.0333,73.0167,24.89,87,100,1.21,IN,1695506281
298,guerrero negro,27.9769,-114.0611,25.02,61,1,7.59,MX,1695506281
299,bamboo flat,11.7,92.7167,25.05,94,100,1.03,IN,1695506281
300,uvira,-3.4067,29.1458,25.23,69,71,1.32,CD,1695506282
301,kyneton,-37.25,144.4333,12.81,95,0,2.46,AU,1695506282
302,porteirinha,-15.7433,-43.0283,27.95,25,4,3.44,BR,1695506282
303,pyoksong-up,38.0475,125.5567,16.07,83,5,1.64,KP,1695506283
304,whitecourt,54.1502,-115.6855,18.58,59,75,8.23,CA,1695506109
305,nema,57.5067,50.5011,13.55,70,0,2.31,RU,1695506283
306,santa maria de cayon,43.3079,-3.8756,17.28,89,0,0.0,ES,1695506284
307,ngerengere,-6.75,38.1167,21.51,91,11,0.8,TZ,1695506284
308,muang phonsavan,19.45,103.2167,17.51,99,19,0.47,LA,1695506284
309,newman,37.3138,-121.0208,29.57,21,0,2.04,US,1695506284
310,kerikeri,-35.2268,173.9474,14.39,91,100,2.24,NZ,1695506285
311,carnarvon,-24.8667,113.6333,16.78,79,0,7.66,AU,1695506285
312,sabzevar,36.2126,57.6819,15.19,31,0,4.6,IR,1695506286
313,antofagasta,-23.65,-70.4,16.6,81,87,3.71,CL,1695506164
314,zaozersk,69.4005,32.4476,7.87,89,100,4.51,RU,1695506286
315,herzberg,51.6869,13.2202,12.54,82,20,2.06,DE,1695506287
316,mount pearl,47.5166,-52.7813,14.69,88,75,9.77,CA,1695506287
317,taozhuang,34.85,117.3333,18.16,83,100,1.15,CN,1695506287
318,gaozhou,21.9392,110.8461,24.37,90,7,1.53,CN,1695506248
319,saldanha,-33.0117,17.9442,12.03,71,0,11.36,ZA,1695506288
320,hawick,55.4227,-2.7867,10.88,85,97,1.59,GB,1695506288
321,el granada,37.5027,-122.4694,24.7,62,0,6.69,US,1695506288
322,butembo,0.15,29.2833,14.25,95,63,1.45,CD,1695506289
323,masuguru,-11.3667,38.4167,24.17,70,29,3.35,TZ,1695506289
324,paoua,7.2427,16.4406,20.59,93,62,1.22,CF,1695506289
325,kashgar,39.4547,75.9797,13.56,41,0,2.0,CN,1695506289
326,thohoyandou,-22.9456,30.485,21.41,30,0,0.87,ZA,1695506290
327,salida,37.7058,-121.0849,28.41,44,0,1.54,US,1695506102
328,itoman,26.1247,127.6694,27.21,89,40,1.54,JP,1695506290
329,caldwell,43.6629,-116.6874,26.2,20,0,6.69,US,1695506048
330,kavaratti,10.5669,72.642,27.7,79,100,5.28,IN,1695506291
331,spring creek,40.7266,-115.5859,22.67,16,0,3.31,US,1695506291
332,rabo de peixe,37.8,-25.5833,24.43,99,40,4.12,PT,1695506291
333,mazamari,-11.3258,-74.5308,29.64,56,53,0.47,PE,1695506292
334,hinton,53.4001,-117.5857,16.36,48,100,2.84,CA,1695506292
335,anna regina,7.2644,-58.5077,28.24,76,7,5.05,GY,1695506292
336,arenapolis,-14.4503,-56.8461,35.33,20,9,3.17,BR,1695506292
337,sinop,41.7711,34.8709,16.92,54,0,1.3,TR,1695506293
338,barroquinha,-3.0189,-41.1361,27.45,60,3,4.83,BR,1695506293
339,okhotsk,59.3833,143.3,5.68,64,67,3.06,RU,1695506294
340,sao joao da barra,-21.6403,-41.0511,25.05,90,12,6.11,BR,1695506048
341,lusambo,-4.9667,23.45,21.9,97,74,1.21,CD,1695506294
342,galliano,29.4422,-90.2992,32.22,51,0,2.06,US,1695506295
343,bechar,31.6167,-2.2167,29.18,17,0,2.06,DZ,1695506295
344,bridgewater,44.3835,-64.5155,15.9,82,100,4.63,CA,1695506295
345,iskushuban,10.2837,50.23,29.93,50,13,7.14,SO,1695506295
346,kailua-kona,19.6406,-155.9956,28.98,80,0,6.69,US,1695506034
347,fortuna,40.5982,-124.1573,20.52,66,20,6.69,US,1695506296
348,soanierana ivongo,-16.9167,49.5833,21.02,91,48,2.25,MG,1695506296
349,hami,42.8,93.45,17.32,34,100,3.43,CN,1695506297
350,thakhek,17.4103,104.8307,23.46,90,90,0.94,LA,1695506297
351,dadukou,26.5479,101.7054,22.49,85,97,0.75,CN,1695506297
352,roma,43.2128,-75.4557,15.53,82,0,2.06,US,1695506166
353,santa barbara,34.7333,-120.0343,25.13,52,0,3.6,US,1695506298
354,saint-philippe,-21.3585,55.7679,20.77,81,38,6.7,RE,1695506298
355,naze,28.3667,129.4833,24.51,84,71,2.61,JP,1695506298
356,fort bragg,35.139,-79.006,21.08,80,100,5.14,US,1695506299
357,miri,4.4148,114.0089,24.08,94,20,1.54,MY,1695506299
358,adi keyh,14.8444,39.3772,18.05,49,21,1.37,ER,1695506299
359,almenara,-16.1836,-40.6944,24.59,52,14,2.76,BR,1695505991
360,jiazi,22.8779,116.067,26.25,88,4,5.88,CN,1695506300
361,macaubas,-13.0194,-42.6986,26.14,22,5,0.71,BR,1695506300
362,fulton,33.7668,-84.4499,29.18,41,0,7.2,US,1695506089
